order_item_id,order_id,product_id,quantity,unit_price
1,1,14,1,1229.98
2,1,18,1,1378.68
3,1,8,2,1714.97
4,1,11,1,350.42
5,2,23,2,448.86
6,2,19,2,481.21
7,2,4,2,1663.92
8,2,24,2,809.38
9,3,24,1,809.38
10,3,7,1,1552.93
11,3,23,2,448.86
12,3,16,1,351.89
13,4,13,3,1412.58
14,5,15,3,1082.25
15,6,22,1,1828.87
16,6,14,1,1229.98
17,6,16,3,351.89
18,7,8,3,1714.97
19,7,4,3,1663.92
20,7,22,1,1828.87
21,7,24,1,809.38
22,8,10,1,1282.29
23,9,7,3,1552.93
24,10,7,3,1552.93
25,11,10,2,1282.29
26,11,13,1,1412.58
27,12,4,3,1663.92
28,12,18,3,1378.68
29,13,25,3,311.45
30,14,19,2,481.21
31,15,24,2,809.38
32,15,11,1,350.42
33,15,14,3,1229.98
34,16,12,1,442.72
35,16,14,2,1229.98
36,16,16,2,351.89
37,17,8,3,1714.97
38,17,4,3,1663.92
39,18,7,2,1552.93
40,18,2,2,1086.36
41,18,20,1,1615.93
42,19,20,2,1615.93
43,20,22,1,1828.87
44,21,20,3,1615.93
45,21,19,2,481.21
46,22,18,2,1378.68
47,22,6,1,120.26
48,23,5,2,1167.37
49,23,18,2,1378.68
50,24,12,2,442.72
51,24,9,3,778.84
52,25,4,3,1663.92
53,25,2,3,1086.36
54,25,5,3,1167.37
55,26,22,3,1828.87
56,27,23,3,448.86
57,27,18,1,1378.68
58,27,15,1,1082.25
59,28,21,1,557.44
60,28,8,1,1714.97
61,28,15,3,1082.25
62,29,21,2,557.44
63,29,13,2,1412.58
64,30,20,3,1615.93
65,30,11,2,350.42
66,31,4,3,1663.92
67,31,24,3,809.38
68,32,10,3,1282.29
69,32,23,2,448.86
70,32,3,2,185.23
71,33,18,1,1378.68
72,34,17,2,561.79
73,34,25,1,311.45
74,34,23,1,448.86
75,34,6,2,120.26
76,35,6,3,120.26
77,35,15,2,1082.25
78,36,3,3,185.23
79,36,11,2,350.42
80,37,3,3,185.23
81,37,16,1,351.89
82,37,12,1,442.72
83,37,6,1,120.26
84,38,23,3,448.86
85,38,21,1,557.44
86,39,17,3,561.79
87,39,23,3,448.86
88,39,7,1,1552.93
89,40,12,1,442.72
90,40,2,1,1086.36
91,40,22,2,1828.87
92,40,16,2,351.89
93,41,21,2,557.44
94,42,12,3,442.72
95,42,5,1,1167.37
96,43,24,2,809.38
97,44,8,3,1714.97
98,44,9,3,778.84
99,44,17,1,561.79
100,44,21,1,557.44
101,45,14,1,1229.98
102,45,9,2,778.84
103,46,12,1,442.72
104,47,16,2,351.89
105,47,2,3,1086.36
106,47,5,3,1167.37
107,48,10,2,1282.29
108,48,19,1,481.21
109,49,12,2,442.72
110,50,15,2,1082.25
111,51,1,1,1620.03
112,51,14,2,1229.98
113,52,13,2,1412.58
114,52,16,1,351.89
115,52,19,1,481.21
116,53,2,3,1086.36
117,54,19,2,481.21
118,54,20,2,1615.93
119,55,24,1,809.38
120,55,15,2,1082.25
121,55,14,2,1229.98
122,56,1,3,1620.03
123,56,14,3,1229.98
124,56,25,2,311.45
125,56,7,1,1552.93
126,57,16,2,351.89
127,58,4,3,1663.92
128,58,24,2,809.38
129,59,19,1,481.21
130,60,13,2,1412.58
131,60,3,3,185.23
132,60,5,2,1167.37
133,60,16,2,351.89
134,61,19,2,481.21
135,62,7,2,1552.93
136,62,15,1,1082.25
137,63,20,1,1615.93
138,63,3,3,185.23
139,63,22,3,1828.87
140,63,9,3,778.84
141,64,13,2,1412.58
142,64,14,2,1229.98
143,65,25,3,311.45
144,66,8,3,1714.97
145,66,9,2,778.84
146,66,6,3,120.26
147,67,9,3,778.84
148,68,14,3,1229.98
149,68,25,2,311.45
150,68,15,3,1082.25
151,69,2,2,1086.36
152,69,24,2,809.38
153,69,7,3,1552.93
154,69,22,2,1828.87
155,70,17,1,561.79
156,70,6,2,120.26
157,71,8,3,1714.97
158,71,9,3,778.84
159,71,6,1,120.26
160,71,25,3,311.45
161,72,17,2,561.79
162,72,7,3,1552.93
163,72,20,1,1615.93
164,73,15,2,1082.25
165,73,17,1,561.79
166,73,4,2,1663.92
167,74,3,2,185.23
168,74,8,2,1714.97
169,74,4,2,1663.92
170,75,13,3,1412.58
171,75,14,2,1229.98
172,76,10,3,1282.29
173,76,19,1,481.21
174,77,1,3,1620.03
175,77,20,3,1615.93
176,77,21,3,557.44
177,78,16,1,351.89
178,78,10,1,1282.29
179,78,13,3,1412.58
180,79,5,1,1167.37
181,79,1,1,1620.03
182,79,9,1,778.84
183,80,24,1,809.38
184,81,2,2,1086.36
185,81,22,3,1828.87
186,82,9,2,778.84
187,83,20,3,1615.93
188,83,10,3,1282.29
189,83,17,1,561.79
190,83,23,3,448.86
191,84,5,2,1167.37
192,84,12,2,442.72
193,84,7,1,1552.93
194,84,8,1,1714.97
195,85,11,1,350.42
196,86,22,1,1828.87
